             epoch single_multi          MJD       JYear num_frames_all strehl_mean_all strehl_mean_combo strehl_std_all strehl_med_all strehl_mad_all fwhm_mean_all fwhm_std_all fwhm_med_all fwhm_mad_all num_frames_combo strehl_std_combo strehl_med_combo strehl_mad_combo fwhm_mean_combo fwhm_std_combo fwhm_med_combo fwhm_mad_combo      weighted_DIMM       weighted_MASS
     20160712nirc2 single_night 57581.300247 2016.527858             39         0.16069           0.21500        0.05134        0.14900        0.03900      93.61923     17.81907     90.07000     13.34000               16          0.02398          0.22000          0.02000        76.97187        3.69249       76.61500        3.14000               -1.0                -1.0
     20160713nirc2 single_night 57582.362981 2016.530768            207         0.30304           0.32534        0.04842        0.31000        0.03400      62.54415      7.38148     61.04000      3.44000              148          0.03301          0.33000          0.02000        59.26851        2.96473       59.49500        2.11000 0.6654515501752665 0.20155745815521817
20170504_0505nirc2  multi_night 57878.478323 2017.341488            469         0.29959           0.37658        0.08250        0.30500        0.05900      69.48676     12.25081     66.72000      7.51000              184          0.04033          0.37000          0.03000        58.74875        2.98268       58.46000        2.42500               -1.0                -1.0
     20170504nirc2 single_night 57877.534129 2017.338902            209         0.23795           0.28304        0.06139        0.24500        0.04500      78.33823     11.58190     75.46000      6.71000              115          0.03247          0.28000          0.02000        70.19965        3.91999       70.72000        2.99000               -1.0                -1.0
     20170505nirc2 single_night 57878.523413 2017.341611            260         0.34913           0.37851        0.06114        0.35400        0.03800      62.37154      7.02072     60.85500      3.71500              175          0.04030          0.38000          0.03000        58.53354        2.89567       58.38000        2.29000               -1.0                -1.0
     20170718nirc2 single_night 57952.401631 2017.543879              9         0.28167           0.28222        0.00939        0.28100        0.00900      64.40333      1.91801     64.46000      2.14000                9          0.00916          0.28000          0.01000        64.40333        1.91801       64.46000        2.14000 0.5045198921281377  0.2187605532624946
     20170727nirc2 single_night 57961.300551 2017.568242            114         0.16758           0.20511        0.04193        0.16250        0.02600      88.81658     11.28168     88.56500      7.33500               45          0.02880          0.20000          0.02000        78.28644        4.15185       78.21000        3.84000               -1.0                -1.0
20170808_0811nirc2  multi_night 57976.030605 2017.608571            210         0.33324           0.40784        0.10041        0.34650        0.07600      64.26324     15.44563     59.92000      7.42000              111          0.05152          0.40000          0.04000        54.49279        3.36380       53.67000        2.61000  0.639690445177973 0.21334095372821515
     20170808nirc2 single_night 57973.256324 2017.600976             12         0.13183           0.14889        0.04895        0.12750        0.02550     104.05417     25.00460     96.35500      6.08500                9          0.04040          0.15000          0.02000        92.34667        9.02591       93.33000        4.55000  0.655057644393994  0.5234272904696284
     20170809nirc2 single_night 57974.321323 2017.603891             34         0.31271           0.33435        0.04908        0.31150        0.04400      67.73235      7.48692     67.59000      6.15500               23          0.04074          0.33000          0.03000        63.42913        4.29518       61.84000        3.38000 1.0258510640504483 0.37043826885015724
     20170810nirc2 single_night 57975.285808 2017.606532             63         0.27733           0.33967        0.07644        0.27300        0.05900      68.75349     11.67464     66.35000      6.64000               30          0.04324          0.34000          0.03000        59.66967        3.26586       58.88000        2.65500 1.1697184986826084 0.15287101083759608
     20170811nirc2 single_night 57976.282983 2017.609262            101         0.39895           0.41851        0.07067        0.40500        0.04700      55.56693      6.12286     53.55000      2.53000               87          0.05087          0.43000          0.03000        53.64678        3.21828       52.64000        1.67000 0.5237353771108566  0.2195768460180854
20170823_0826nirc2  multi_night 57989.523780 2017.645513            219         0.30847           0.35795        0.06647        0.31000        0.05100      66.61393      8.47109     65.39000      5.32000              112          0.04289          0.35500          0.02500        60.31982        3.46536       60.93500        2.56000 0.7823026648501228 0.24899123282442664
     20170823nirc2 single_night 57988.268117 2017.642076            116         0.28518           0.32131        0.05649        0.28850        0.04000      69.06853      7.47336     67.90500      4.96500               61          0.04532          0.32000          0.03000        63.60803        3.27996       64.15000        2.20000 0.8761045530484141 0.35969142291952394
     20170824nirc2 single_night 57989.268351 2017.644814             52         0.34588           0.36929        0.06768        0.35300        0.03550      63.38019      9.00932     61.25500      3.69500               42          0.04458          0.37000          0.03000        60.01167        3.50277       60.68000        2.73500 0.8459903337960987 0.19184401765006764
     20170826nirc2 single_night 57991.254787 2017.650253             51         0.32331           0.36000        0.06450        0.33200        0.03500      64.32804      8.29206     63.65000      5.16000               33          0.03717          0.35000          0.03000        59.36667        3.94466       58.93000        3.30000 0.5754685566183826 0.21766527882818357
20180317_0330nirc2  multi_night 58199.344964 2018.219973            147         0.31847           0.42295        0.10241        0.28300        0.06100      69.84816     10.96770     71.02000      9.01000               61          0.06872          0.43000          0.06000        58.89689        3.74832       58.17000        2.79000               -1.0                -1.0
20180317_0524nirc2  multi_night 58199.344964 2018.219973            213         0.29124           0.42295        0.09680        0.26300        0.04400      73.14887     11.38928     73.72000      7.75000               61          0.06872          0.43000          0.06000        58.89689        3.74832       58.17000        2.79000               -1.0                -1.0
     20180317nirc2 single_night 58194.633744 2018.207074             39         0.44628           0.47424        0.07762        0.46400        0.04300      59.83462      8.34862     56.18000      1.73000               33          0.04438          0.48000          0.03000        56.67909        2.48194       55.83000        0.92000               -1.0                -1.0
     20180322nirc2 single_night 58199.621259 2018.220729             59         0.24617           0.25979        0.03824        0.24600        0.02500      76.67712      6.80682     76.26000      4.74000               47          0.02964          0.26000          0.02000        74.21021        4.49163       74.45000        3.64000 0.8293670972415373  0.5591404871469596
     20180330nirc2 single_night 58207.623084 2018.242637             49         0.30380           0.36346        0.07347        0.31400        0.05700      69.59551     10.65761     67.22000      6.35000               26          0.03772          0.37000          0.03000        61.34077        3.47841       61.03000        2.59500 0.9409780318184152 0.22368837363071783
20180519_0524nirc2  multi_night 58261.546466 2018.390271             66         0.23059           0.24434        0.03940        0.23100        0.02550      80.50045      8.50863     79.13500      4.29000               53          0.02872          0.24000          0.02000        77.21774        4.27459       78.09000        2.89000  0.831796046898244  0.7540918800775372
     20180519nirc2 single_night 58257.545727 2018.379318             17         0.21488           0.24909        0.05046        0.22500        0.05000      86.76059     11.92875     83.82000      8.27000               11          0.02610          0.25000          0.02000        78.94455        4.44535       78.42000        3.18000 1.1877291738653435   1.141190842258549
     20180524nirc2 single_night 58262.516879 2018.392928             49         0.23604           0.24209        0.03305        0.23100        0.02200      78.32857      5.46197     79.05000      3.40000               43          0.02961          0.23000          0.02000        77.02605        4.39947       77.99000        3.52000 0.7495697280256636  0.6641169644246031
